,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-182,UX2023,AGS2000/HILLIARD,3.6.2,UX2023-81,+,.,182,2,4/7/2022,97,,,R,5,,90,+
Kin22-SunRilHR-183,UX2023,AGS2000/HILLIARD,3.6.3,UX2023-55,+,.,183,2,4/12/2022,102,,,R,R,,95,+
Kin22-SunRilHR-184,UX2023,AGS2000/HILLIARD,3.6.4,UX2023-118,+,.,184,2,4/10/2022,100,,,S,25,,100,+
Kin22-SunRilHR-185,UX2023,AGS2000/HILLIARD,3.7.1,UX2023-117,+,.,185,3,4/7/2022,97,,,R10,15,,95,+
Kin22-SunRilHR-186,UX2023,AGS2000/HILLIARD,3.7.2,UX2023-7,+,.,186,2,4/13/2022,103,,,R,R,,90,+
Kin22-SunRilHR-187,Parent,Parent,3.7.3,LA09264C-P2,+,R-8.1.3,187,4,3/27/2022,86,,,S,25,,85,+
Kin22-SunRilHR-188,UX2023,AGS2000/HILLIARD,3.7.4,UX2023-75,+,.,188,4,3/28/2022,87,,,R,0,,85,+
Kin22-SunRilHR-189,UX2023,AGS2000/HILLIARD,3.8.1,UX2023-63,+,.,189,4,4/1/2022,91,,,S,20,,85,+
Kin22-SunRilHR-190,UX2023,AGS2000/HILLIARD,3.8.2,UX2023-98,+,.,190,3,4/7/2022,97,,,R,5,,80,+
Kin22-SunRilHR-191,UX2023,AGS2000/HILLIARD,3.8.3,UX2023-30,+,.,191,4,3/28/2022,87,,,R,R,,80,+
Kin22-SunRilHR-192,UX2023,AGS2000/HILLIARD,3.8.4,UX2023-11,+,.,192,2,4/13/2022,103,,,R,R,,80,+
Kin22-SunRilHR-193,UX2023,AGS2000/HILLIARD,3.9.1,UX2023-2,+,.,193,2,4/9/2022,99,,,R,0,,85,+
Kin22-SunRilHR-194,UX2023,AGS2000/HILLIARD,3.9.2,UX2023-90,+,.,194,2,4/12/2022,102,,,R,0,,90,+
Kin22-SunRilHR-195,UX2023,AGS2000/HILLIARD,3.9.3,UX2023-53,+,.,195,3,4/1/2022,91,,,R,0,,85,+
Kin22-SunRilHR-196,Parent,Parent,3.9.4,SS8641,-,R-7.1.3,196,2,4/9/2022,99,,,R,0,,85,-
Kin22-SunRilHR-197,UX2023,AGS2000/HILLIARD,3.10.1,UX2023-84,+,.,197,3,4/7/2022,97,,,R,R,,85,+
Kin22-SunRilHR-198,Parent,Parent,3.10.2,GA001138-8E36,+,VA-37,198,3,4/9/2022,99,,,R,0,,90,+
Kin22-SunRilHR-199,UX2023,AGS2000/HILLIARD,3.10.3,UX2023-96,+,.,199,2,4/13/2022,103,,,R10,5,,85,+
Kin22-SunRilHR-200,UX2023,AGS2000/HILLIARD,3.10.4,UX2023-85,+,.,200,2,4/9/2022,99,,,R,R,,80,+
Kin22-SunRilHR-201,Parent,Parent,3.11.1,ARGA051160-14LE31,-,GA-81930,201,3,4/12/2022,102,,,R,0,,90,-
Kin22-SunRilHR-202,UX2023,AGS2000/HILLIARD,3.11.2,UX2023-52,+,.,202,3,4/8/2022,98,,,R,0,,95,+
Kin22-SunRilHR-203,UX2023,AGS2000/HILLIARD,3.11.3,UX2023-82,+,.,203,3,4/7/2022,97,,,R,R,,100,+
Kin22-SunRilHR-204,UX2023,AGS2000/HILLIARD,3.11.4,UX2023-110,+,.,204,3,4/2/2022,92,,,R20,25,,85,+
Kin22-SunRilHR-205,UX2023,AGS2000/HILLIARD,3.12.1,UX2023-22,+,.,205,2,4/14/2022,104,,,R,0,,105,+
Kin22-SunRilHR-206,Parent,Parent,3.12.2,NC08-23383,-,VA-91,206,2,4/13/2022,103,,,R,0,,80,-
Kin22-SunRilHR-207,UX2023,AGS2000/HILLIARD,3.12.3,UX2023-125,+,.,207,3,4/6/2022,96,,,R,0,,80,+
Kin22-SunRilHR-208,UX2023,AGS2000/HILLIARD,3.12.4,UX2023-50,+,.,208,2,4/8/2022,98,,,R,R,,90,+
Kin22-SunRilHR-209,UX2023,AGS2000/HILLIARD,3.13.1,UX2023-60,+,.,209,1,4/11/2022,101,,,R,R/20,,85,+
Kin22-SunRilHR-210,UX2023,AGS2000/HILLIARD,3.13.2,UX2023-102,+,.,210,3,4/9/2022,99,,,R,5,,85,+
Kin22-SunRilHR-211,Parent,Parent,3.13.3,Hilliard,+,VA-36,211,2,4/12/2022,102,,,R,R,,85,+
Kin22-SunRilHR-212,UX2023,AGS2000/HILLIARD,3.13.4,UX2023-3,+,.,212,3,4/4/2022,94,,,R,10,,85,+
Kin22-SunRilHR-213,UX2023,AGS2000/HILLIARD,3.14.1,UX2023-103,+,.,213,3,4/7/2022,97,,,R,0,,75,+
Kin22-SunRilHR-214,UX2023,AGS2000/HILLIARD,3.14.2,UX2023-54,+,.,214,1,4/17/2022,107,,,R,0,,85,+
Kin22-SunRilHR-215,UX2023,AGS2000/HILLIARD,3.14.3,UX2023-6,+,.,215,3,4/3/2022,93,,,R,25,,95,+
Kin22-SunRilHR-216,UX2023,AGS2000/HILLIARD,3.14.4,UX2023-88,+,.,216,2,4/6/2022,96,,,R,R,,90,+
Kin22-SunRilHR-217,UX2023,AGS2000/HILLIARD,3.15.1,UX2023-4,+,.,217,4,4/2/2022,92,,,R10,15,,95,+
Kin22-SunRilHR-218,Parent,Parent,3.15.2,MPV57,-,R-14.18.3,218,1,4/15/2022,105,,,R,20,,85,-
Kin22-SunRilHR-219,UX2023,AGS2000/HILLIARD,3.15.3,UX2023-79,+,.,219,4,4/1/2022,91,,,R,10,,90,+
Kin22-SunRilHR-220,UX2023,AGS2000/HILLIARD,3.15.4,UX2023-104,+,.,220,3,4/6/2022,96,,,R,0,,100,+
Kin22-SunRilHR-221,UX2023,AGS2000/HILLIARD,3.16.1,UX2023-114,+,.,221,2,4/7/2022,97,,,R10,25,,80,+
Kin22-SunRilHR-222,UX2023,AGS2000/HILLIARD,3.16.2,UX2023-70,+,.,222,2,4/8/2022,98,,,R,0,,100,+
Kin22-SunRilHR-223,UX2023,AGS2000/HILLIARD,3.16.3,UX2023-89,+,.,223,1,4/13/2022,103,,,R,0,,80,+
Kin22-SunRilHR-224,UX2023,AGS2000/HILLIARD,3.16.4,UX2023-21,+,.,224,2,4/14/2022,104,,,R,5,,95,+
Kin22-SunRilHR-225,UX2023,AGS2000/HILLIARD,3.17.1,UX2023-18,+,.,225,2,4/9/2022,99,,,R20,15,,100,+
Kin22-SunRilHR-226,UX2023,AGS2000/HILLIARD,3.17.2,UX2023-99,+,.,226,3,4/2/2022,92,,,R10:R,R,,95,+
Kin22-SunRilHR-227,UX2023,AGS2000/HILLIARD,3.17.3,UX2023-10,+,.,227,2,4/11/2022,101,,,R,0,,85,+
Kin22-SunRilHR-228,Parent,Parent,3.17.4,TX12D4896,+,R-19.1.4,228,4,4/4/2022,94,,,R,0,,85,+
Kin22-SunRilHR-229,Parent,Parent,3.18.1,AGS2000,+,GA-81903,229,4,4/2/2022,92,,,R,5,,90,+
Kin22-SunRilHR-230,UX2023,AGS2000/HILLIARD,3.18.2,UX2023-83,+,.,230,3,4/7/2022,97,,,R,R,,80,+
Kin22-SunRilHR-231,UX2023,AGS2000/HILLIARD,3.18.3,UX2023-24,+,.,231,2,4/15/2022,105,,,S,10,,90,+
Kin22-SunRilHR-232,UX2023,AGS2000/HILLIARD,3.18.4,UX2023-94,+,.,232,2,4/14/2022,104,,,R10,10,,90,+
Kin22-SunRilHR-233,UX2023,AGS2000/HILLIARD,3.19.1,UX2023-76,+,.,233,4,4/4/2022,94,,,S,40,,85,+
Kin22-SunRilHR-234,UX2023,AGS2000/HILLIARD,3.19.2,UX2023-65,+,.,234,1,4/8/2022,98,,,R,R,,90,+
Kin22-SunRilHR-235,Parent,Parent,3.19.3,GA05450-EL52,+,R-10.1.2,235,3,4/3/2022,93,,,R,R,,90,+
Kin22-SunRilHR-236,UX2023,AGS2000/HILLIARD,3.19.4,UX2023-101,+,.,236,3,4/6/2022,96,,,30,10,,95,+
Kin22-SunRilHR-237,UX2023,AGS2000/HILLIARD,3.20.1,UX2023-80,+,.,237,2,4/13/2022,103,,,R,0,,90,+
Kin22-SunRilHR-238,UX2023,AGS2000/HILLIARD,3.20.2,UX2023-8,+,.,238,3,3/31/2022,90,,,S,25,,80,+
Kin22-SunRilHR-239,UX2023,AGS2000/HILLIARD,3.20.3,UX2023-119,+,.,239,2,4/15/2022,105,,,R,20,,85,+
Kin22-SunRilHR-240,UX2023,AGS2000/HILLIARD,3.20.4,UX2023-57,+,.,240,1,4/13/2022,103,,,R,R,,80,+
Kin22-SunRilHR-241,Marker,Marker,4.1.1,Barley,+,.,241,1,4/16/2022,106,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-241_picture_1_2022-03-28-11-47-58.jpg,,,,,+
Kin22-SunRilHR-242,UX1994,GA06493-13LE6/SS8641,4.1.2,UX1994-9,+,.,242,2,4/12/2022,102,,,R,,0,85,+
Kin22-SunRilHR-243,UX1997,LA09264C-P2/NC08-23383,4.1.3,UX1997-119,+,.,243,3,4/5/2022,95,,,S,,1,85,+
Kin22-SunRilHR-244,UX1997,LA09264C-P2/NC08-23383,4.1.4,UX1997-28,-,.,244,2,4/12/2022,102,,,S,,2,85,-
Kin22-SunRilHR-245,UX1994,GA06493-13LE6/SS8641,4.2.1,UX1994-29,+,.,245,1,4/12/2022,102,,,R,,0,90,+
Kin22-SunRilHR-246,UX1997,LA09264C-P2/NC08-23383,4.2.2,UX1997-106,-,.,246,2,4/11/2022,101,,,R,,0,85,-
Kin22-SunRilHR-247,UX1997,LA09264C-P2/NC08-23383,4.2.3,UX1997-20,-,.,247,3,4/4/2022,94,,,S,,0,95,-
Kin22-SunRilHR-248,UX1997,LA09264C-P2/NC08-23383,4.2.4,UX1997-12,+,.,248,2,4/7/2022,97,,,R,,0,90,+
Kin22-SunRilHR-249,UX1997,LA09264C-P2/NC08-23383,4.3.1,UX1997-111,-,.,249,4,3/29/2022,88,,,R,,0,70,-
Kin22-SunRilHR-250,UX1994,GA06493-13LE6/SS8641,4.3.2,UX1994-24,+,.,250,1,4/12/2022,102,,,R,,0,90,+
Kin22-SunRilHR-251,Parent,Parent,4.3.3,GA06493-13LE6,+,GA-81738,251,2,3/31/2022,90,,,R,,0,90,+
Kin22-SunRilHR-252,UX1997,LA09264C-P2/NC08-23383,4.3.4,UX1997-125,-,.,252,2,4/14/2022,104,,,R10,,2,90,-
Kin22-SunRilHR-253,UX1997,LA09264C-P2/NC08-23383,4.4.1,UX1997-123,+,.,253,2,4/14/2022,104,,,R,,0,80,+
Kin22-SunRilHR-254,UX1997,LA09264C-P2/NC08-23383,4.4.2,UX1997-19,-,.,254,2,4/12/2022,102,,,R,,1,70,-
Kin22-SunRilHR-255,UX1997,LA09264C-P2/NC08-23383,4.4.3,UX1997-115,-,.,255,3,3/29/2022,88,,,S,,1,85,-
Kin22-SunRilHR-256,UX1997,LA09264C-P2/NC08-23383,4.4.4,UX1997-4,-,.,256,2,4/13/2022,103,,,R,,0,85,-
Kin22-SunRilHR-257,Parent,Parent,4.5.1,LA09264C-P2,+,R-8.1.3,257,4,3/27/2022,86,,,S,,1,80,+
Kin22-SunRilHR-258,UX1997,LA09264C-P2/NC08-23383,4.5.2,UX1997-130,+,.,258,3,4/1/2022,91,,,S,,0,80,+
Kin22-SunRilHR-259,UX1997,LA09264C-P2/NC08-23383,4.5.3,UX1997-39,-,.,259,2,4/14/2022,104,,,R,,0,95,-
Kin22-SunRilHR-260,UX1997,LA09264C-P2/NC08-23383,4.5.4,UX1997-113,-,.,260,4,3/29/2022,88,,,S,,1,80,+
Kin22-SunRilHR-261,UX1994,GA06493-13LE6/SS8641,4.6.1,UX1994-42,+,.,261,2,4/8/2022,98,,,R,,0,85,+
Kin22-SunRilHR-262,UX1997,LA09264C-P2/NC08-23383,4.6.2,UX1997-24,+,.,262,4,4/1/2022,91,,,S,,0,85,+
Kin22-SunRilHR-263,UX1997,LA09264C-P2/NC08-23383,4.6.3,UX1997-124,-,no sample left,263,2,4/15/2022,105,,,R,,4,90,-
Kin22-SunRilHR-264,Parent,Parent,4.6.4,NC8248-1,+,R-5.1.4,264,4,3/31/2022,90,,,30,,1,90,+
Kin22-SunRilHR-265,UX1997,LA09264C-P2/NC08-23383,4.7.1,UX1997-3,-,.,265,4,4/1/2022,91,,,S,20,0,95,-
Kin22-SunRilHR-266,UX1997,LA09264C-P2/NC08-23383,4.7.2,UX1997-126,-,.,266,4,4/4/2022,94,,,R,,0,95,-
Kin22-SunRilHR-267,UX1997,LA09264C-P2/NC08-23383,4.7.3,UX1997-4,-,.,267,2,4/12/2022,102,,,R,,2,90,+
Kin22-SunRilHR-268,UX1997,LA09264C-P2/NC08-23383,4.7.4,UX1997-137,-,.,268,2,4/4/2022,94,,,R,,0,100,-
Kin22-SunRilHR-269,UX1997,LA09264C-P2/NC08-23383,4.8.1,UX1997-138,-,.,269,4,3/28/2022,87,,,S,,1,85,-
Kin22-SunRilHR-270,Parent,Parent,4.8.2,AGS2000,+,GA-81903,270,4,4/1/2022,91,,,R,,2,95,+
Kin22-SunRilHR-271,UX1997,LA09264C-P2/NC08-23383,4.8.3,UX1997-129,-,.,271,4,3/31/2022,90,,,R,,1,90,-
Kin22-SunRilHR-272,UX1997,LA09264C-P2/NC08-23383,4.8.4,UX1997-35,+,.,272,3,4/7/2022,97,,,R,,1,95,+
Kin22-SunRilHR-273,UX1997,LA09264C-P2/NC08-23383,4.9.1,UX1997-110,+,.,273,4,4/2/2022,92,,,R,,1,80,+
Kin22-SunRilHR-274,UX1997,LA09264C-P2/NC08-23383,4.9.2,UX1997-142,-,.,274,2,4/14/2022,104,,,R,,1,85,-
Kin22-SunRilHR-275,Parent,Parent,4.9.3,Hilliard,+,VA-36,275,2,4/7/2022,97,,,R,,0,90,+
Kin22-SunRilHR-276,UX1997,LA09264C-P2/NC08-23383,4.9.4,UX1997-148,-,.,276,3,4/2/2022,92,,,R,,0,90,-
Kin22-SunRilHR-277,UX1997,LA09264C-P2/NC08-23383,4.10.1,UX1997-6,+,.,277,4,3/30/2022,89,,,R,,0,80,+
Kin22-SunRilHR-278,UX1997,LA09264C-P2/NC08-23383,4.10.2,UX1997-127,+,.,278,4,4/1/2022,91,,,R,,0,80,+
Kin22-SunRilHR-279,UX1994,GA06493-13LE6/SS8641,4.10.3,UX1994-26,+,.,279,2,4/9/2022,99,,,R,,0,85,+
Kin22-SunRilHR-280,UX1997,LA09264C-P2/NC08-23383,4.10.4,UX1997-37,+,.,280,2,4/12/2022,102,,,R,,0,100,+
Kin22-SunRilHR-281,UX1994,GA06493-13LE6/SS8641,4.11.1,UX1994-18,+,.,281,2,4/7/2022,97,,,R,,0,90,+
Kin22-SunRilHR-282,UX1997,LA09264C-P2/NC08-23383,4.11.2,UX1997-16,-,.,282,2,4/12/2022,102,,,R,,0,90,-
Kin22-SunRilHR-283,UX1997,LA09264C-P2/NC08-23383,4.11.3,UX1997-144,-,.,283,3,4/1/2022,91,,,R,,0,85,-
Kin22-SunRilHR-284,Parent,Parent,4.11.4,MPV57,-,R-14.18.3,284,1,4/14/2022,104,,,R,,1,75,-
Kin22-SunRilHR-285,Parent,Parent,4.12.1,NC08-23383,-,VA-91,285,2,4/11/2022,101,,,R,,0,80,-
Kin22-SunRilHR-286,UX1997,LA09264C-P2/NC08-23383,4.12.2,UX1997-109,+,.,286,2,4/13/2022,103,,,R,,0,90,+
Kin22-SunRilHR-287,UX1997,LA09264C-P2/NC08-23383,4.12.3,UX1997-114,-,.,287,4,3/30/2022,89,,,S,,1,80,-
Kin22-SunRilHR-288,UX1997,LA09264C-P2/NC08-23383,4.12.4,UX1997-136,-,.,288,3,4/4/2022,94,,,R,,1,95,-
Kin22-SunRilHR-289,UX1997,LA09264C-P2/NC08-23383,4.13.1,UX1997-60,+,.,289,2,4/12/2022,102,,,R,,0,95,+
Kin22-SunRilHR-290,Parent,Parent,4.13.2,ARGA051160-14LE31,-,GA-81930,290,2,4/10/2022,100,,,R,,1,95,-
Kin22-SunRilHR-291,UX1997,LA09264C-P2/NC08-23383,4.13.3,UX1997-141,-,.,291,2,4/12/2022,102,,,R20,,3,95,-
Kin22-SunRilHR-292,UX1997,LA09264C-P2/NC08-23383,4.13.4,UX1997-105,-,.,292,3,4/3/2022,93,,,S,,4,85,-
Kin22-SunRilHR-293,UX1997,LA09264C-P2/NC08-23383,4.14.1,UX1997-139,+,no sample left,293,4,4/2/2022,92,,,R,,1,90,+
Kin22-SunRilHR-294,UX1997,LA09264C-P2/NC08-23383,4.14.2,UX1997-143,+,.,294,4,3/30/2022,89,,,R,,1,95,+
Kin22-SunRilHR-295,UX1997,LA09264C-P2/NC08-23383,4.14.3,UX1997-36,-,.,295,3,3/31/2022,90,,,R,,0,100,+
Kin22-SunRilHR-296,UX1997,LA09264C-P2/NC08-23383,4.14.4,UX1997-11,-,.,296,3,4/5/2022,95,,,R,,0,90,-
Kin22-SunRilHR-297,UX1997,LA09264C-P2/NC08-23383,4.15.1,UX1997-134,-,.,297,3,4/8/2022,98,,,R,,1,90,-
Kin22-SunRilHR-298,UX1997,LA09264C-P2/NC08-23383,4.15.2,UX1997-103,+,.,298,4,3/31/2022,90,,,R,,2,95,+
Kin22-SunRilHR-299,UX1997,LA09264C-P2/NC08-23383,4.15.3,UX1997-133,-,.,299,3,4/5/2022,95,,,R,,1,95,-
Kin22-SunRilHR-300,Parent,Parent,4.15.4,SS8641,-,R-7.1.3,300,3,4/6/2022,96,,,R,,0,90,-
Kin22-SunRilHR-301,UX1994,GA06493-13LE6/SS8641,4.16.1,UX1994-70,*,.,301,3,4/7/2022,97,,,R,,0,95,-
Kin22-SunRilHR-302,UX1997,LA09264C-P2/NC08-23383,4.16.2,UX1997-7,+,.,302,4,4/2/2022,92,,,R,,1,80,+
Kin22-SunRilHR-303,Parent,Parent,4.16.3,GA001138-8E36,+,VA-37,303,4,4/8/2022,98,,,R,,0,95,+
Kin22-SunRilHR-304,UX1997,LA09264C-P2/NC08-23383,4.16.4,UX1997-140,-,.,304,3,4/12/2022,102,,,R,,1,80,-
Kin22-SunRilHR-305,Parent,Parent,4.17.1,GA05450-EL52,+,R-10.1.2,305,2,4/6/2022,96,,,R,,1,80,+
Kin22-SunRilHR-306,UX1997,LA09264C-P2/NC08-23383,4.17.2,UX1997-135,-,.,306,3,4/3/2022,93,,,R,,0,85,-
Kin22-SunRilHR-307,UX1997,LA09264C-P2/NC08-23383,4.17.3,UX1997-132,+,.,307,3,4/3/2022,93,,,R,,1,80,+
Kin22-SunRilHR-308,UX1997,LA09264C-P2/NC08-23383,4.17.4,UX1997-21,+,.,308,2,4/10/2022,100,,,R,,1,85,+
Kin22-SunRilHR-309,UX1997,LA09264C-P2/NC08-23383,4.18.1,UX1997-131,-,.,309,4,4/4/2022,94,,,R,,0,80,mixed
Kin22-SunRilHR-310,Parent,Parent,4.18.2,GA00190-7A14,+,VA-368,310,2,4/5/2022,95,,,R,,0,85,+
Kin22-SunRilHR-311,UX1997,LA09264C-P2/NC08-23383,4.18.3,UX1997-122,+,.,311,2,4/6/2022,96,,,S,,3,90,+
Kin22-SunRilHR-312,UX1997,LA09264C-P2/NC08-23383,4.18.4,UX1997-30,+,.,312,4,3/31/2022,90,,,R,,1,75,+
Kin22-SunRilHR-313,UX1997,LA09264C-P2/NC08-23383,4.19.1,UX1997-116,+,.,313,2,4/6/2022,96,,,S,,2,85,+
Kin22-SunRilHR-314,UX1997,LA09264C-P2/NC08-23383,4.19.2,UX1997-149,-,.,314,2,4/11/2022,101,,,R,,2,80,-
Kin22-SunRilHR-315,Parent,Parent,4.19.3,TX12D4896,+,R-19.1.4,315,3,4/6/2022,96,,,R,,1,90,+
Kin22-SunRilHR-316,UX1997,LA09264C-P2/NC08-23383,4.19.4,UX1997-121,-,.,316,2,4/12/2022,102,,,R,,1,85,-
Kin22-SunRilHR-317,UX1997,LA09264C-P2/NC08-23383,4.20.1,UX1997-33,+,.,317,3,4/1/2022,91,,,R,,1,70,+
Kin22-SunRilHR-318,UX1997,LA09264C-P2/NC08-23383,4.20.2,UX1997-146,*,.,318,3,4/4/2022,94,,,R,,0,80,mixed
Kin22-SunRilHR-319,UX1997,LA09264C-P2/NC08-23383,4.20.3,UX1997-147,+,.,319,1,4/15/2022,105,,,R,,1,75,+
Kin22-SunRilHR-320,UX1997,LA09264C-P2/NC08-23383,4.20.4,UX1997-107,-,.,320,2,4/6/2022,96,,,R,,3,75,+
Kin22-SunRilHR-321,Marker,Marker,5.1.1,Barley,+,.,321,1,4/22/2022,112,,,,,,,+
Kin22-SunRilHR-322,UX1995,NC8248-1/NC08-23383,5.1.2,UX1995-7,-,.,322,3,4/6/2022,96,,,S,,1,75,-
Kin22-SunRilHR-323,UX1995,NC8248-1/NC08-23383,5.1.3,UX1995-3,+,.,323,3,4/7/2022,97,,,R20,,1,90,+
Kin22-SunRilHR-324,UX1995,NC8248-1/NC08-23383,5.1.4,UX1995-101,+,.,324,3,4/3/2022,93,,,R,,1,75,+
Kin22-SunRilHR-325,UX1995,NC8248-1/NC08-23383,5.2.1,UX1995-85,*,.,325,3,4/6/2022,96,,,R,,3,80,+
Kin22-SunRilHR-326,UX1995,NC8248-1/NC08-23383,5.2.2,UX1995-46,+,.,326,4,3/26/2022,85,,,R10,,2,80,+
Kin22-SunRilHR-327,UX1995,NC8248-1/NC08-23383,5.2.3,UX1995-145,-,.,327,4,3/28/2022,87,,,R,,3,80,+
Kin22-SunRilHR-328,UX1995,NC8248-1/NC08-23383,5.2.4,UX1995-198,+,.,328,4,3/26/2022,85,,,R,,3,85,+
Kin22-SunRilHR-329,UX1995,NC8248-1/NC08-23383,5.3.1,UX1995-212,-,.,329,2,4/10/2022,100,,,R,,1,90,-
Kin22-SunRilHR-330,Parent,Parent,5.3.2,SS8641,-,R-7.1.3,330,2,4/7/2022,97,,,R,,1,90,-
Kin22-SunRilHR-331,UX1995,NC8248-1/NC08-23383,5.3.3,UX1995-195,-,.,331,4,3/28/2022,87,,,R,,4,75,-
Kin22-SunRilHR-332,Parent,Parent,5.3.4,NC08-23383,-,VA-91,332,1,4/12/2022,102,,,R,,1,75,-
Kin22-SunRilHR-333,UX1995,NC8248-1/NC08-23383,5.4.1,UX1995-39,+,.,333,3,4/1/2022,91,,,R10,,2,75,+
Kin22-SunRilHR-334,UX1995,NC8248-1/NC08-23383,5.4.2,UX1995-189,+,.,334,2,4/14/2022,104,,,R,,1,90,+
Kin22-SunRilHR-335,UX1995,NC8248-1/NC08-23383,5.4.3,UX1995-186,+,.,335,2,4/13/2022,103,,,R,,1,80,+
Kin22-SunRilHR-336,UX1995,NC8248-1/NC08-23383,5.4.4,UX1995-152,-,.,336,1,4/11/2022,101,,,R,,0,85,-
Kin22-SunRilHR-337,UX1995,NC8248-1/NC08-23383,5.5.1,UX1995-25,-,.,337,2,4/13/2022,103,,,R,,2,105,-
Kin22-SunRilHR-338,Parent,Parent,5.5.2,MPV57,-,R-14.18.3,338,1,4/15/2022,105,,,R,,2,80,-
Kin22-SunRilHR-339,UX1995,NC8248-1/NC08-23383,5.5.3,UX1995-192,+,.,339,2,4/11/2022,101,,,R,,2,80,+
Kin22-SunRilHR-340,UX1995,NC8248-1/NC08-23383,5.5.4,UX1995-175,-,.,340,4,3/27/2022,86,,,R,,1,70,-
Kin22-SunRilHR-341,UX1995,NC8248-1/NC08-23383,5.6.1,UX1995-100,-,.,341,2,4/11/2022,101,,,R,,0,80,-
Kin22-SunRilHR-342,UX1995,NC8248-1/NC08-23383,5.6.2,UX1995-48,+,.,342,3,4/6/2022,96,,,R,,0,85,+
Kin22-SunRilHR-343,UX1995,NC8248-1/NC08-23383,5.6.3,UX1995-40,+,.,343,2,4/12/2022,102,,,R,,1,95,+
Kin22-SunRilHR-344,UX1995,NC8248-1/NC08-23383,5.6.4,UX1995-2,-,.,344,3,3/28/2022,87,,,S,,2,65,-
Kin22-SunRilHR-345,Parent,Parent,5.7.1,GA06493-13LE6,+,GA-81738,345,2,4/13/2022,103,,,R,,1,85,+
Kin22-SunRilHR-346,UX1995,NC8248-1/NC08-23383,5.7.2,UX1995-15,+,.,346,4,3/25/2022,84,,,R,,2,80,+
Kin22-SunRilHR-347,UX1995,NC8248-1/NC08-23383,5.7.3,UX1995-51,-,.,347,1,4/13/2022,103,,,R,,3,85,-
Kin22-SunRilHR-348,Parent,Parent,5.7.4,GA001138-8E36,+,VA-37,348,3,4/8/2022,98,,,R,,1,100,+
Kin22-SunRilHR-349,UX1995,NC8248-1/NC08-23383,5.8.1,UX1995-107,-,.,349,1,4/14/2022,104,,,R,,0,85,-
Kin22-SunRilHR-350,UX1995,NC8248-1/NC08-23383,5.8.2,UX1995-156,+,.,350,1,4/12/2022,102,,,R,,1,90,+
Kin22-SunRilHR-351,UX1995,NC8248-1/NC08-23383,5.8.3,UX1995-127,-,.,351,1,4/15/2022,105,,,R,,0,85,mixed
Kin22-SunRilHR-352,UX1995,NC8248-1/NC08-23383,5.8.4,UX1995-52,+,.,352,1,4/14/2022,104,,,R,,2,85,+
Kin22-SunRilHR-353,UX1995,NC8248-1/NC08-23383,5.9.1,UX1995-171,-,.,353,2,4/8/2022,98,,,R,,1,85,-
Kin22-SunRilHR-354,UX1995,NC8248-1/NC08-23383,5.9.2,UX1995-66,+,.,354,1,4/12/2022,102,,,R,,0,90,+
Kin22-SunRilHR-355,Parent,Parent,5.9.3,ARGA051160-14LE31,-,GA-81930,355,2,4/11/2022,101,,,R,,1,95,-
Kin22-SunRilHR-356,UX1995,NC8248-1/NC08-23383,5.9.4,UX1995-149,+,.,356,2,4/13/2022,103,,,R,,3,85,+
Kin22-SunRilHR-357,UX1995,NC8248-1/NC08-23383,5.10.1,UX1995-13,+,.,357,4,4/1/2022,91,,,R,,2,90,+
Kin22-SunRilHR-358,UX1995,NC8248-1/NC08-23383,5.10.2,UX1995-177,-,.,358,1,4/14/2022,104,,,R10,,4,65,-
Kin22-SunRilHR-359,UX1995,NC8248-1/NC08-23383,5.10.3,UX1995-140,+,.,359,3,4/5/2022,95,,,R20,,1,90,+
Kin22-SunRilHR-360,UX1995,NC8248-1/NC08-23383,5.10.4,UX1995-172,+,.,360,2,4/11/2022,101,,,R,,1,85,+
Kin22-SunRilHR-361,Parent,Parent,5.11.1,GA00190-7A14,+,VA-368,361,3,4/8/2022,98,,,R,,,80,+
Kin22-SunRilHR-362,UX1995,NC8248-1/NC08-23383,5.11.2,UX1995-200,+,.,362,1,4/16/2022,106,,,R,,2,75,+
Kin22-SunRilHR-363,UX1995,NC8248-1/NC08-23383,5.11.3,UX1995-201,+,.,363,2,4/10/2022,100,,,R,,1,85,+
Kin22-SunRilHR-364,UX1995,NC8248-1/NC08-23383,5.11.4,UX1995-159,+,.,364,2,4/12/2022,102,,,R,,3,85,+
Kin22-SunRilHR-365,UX1995,NC8248-1/NC08-23383,5.12.1,UX1995-141,+,.,365,2,4/13/2022,103,,,R,,1,75,+
Kin22-SunRilHR-366,UX1995,NC8248-1/NC08-23383,5.12.2,UX1995-1,-,.,366,3,4/4/2022,94,,,R,,1,80,-
Kin22-SunRilHR-367,UX1995,NC8248-1/NC08-23383,5.12.3,UX1995-208,-,.,367,4,3/28/2022,87,,,R20,,1,90,-
Kin22-SunRilHR-368,UX1995,NC8248-1/NC08-23383,5.12.4,UX1995-54,+,.,368,4,3/27/2022,86,,,S,,2,95,+
Kin22-SunRilHR-369,UX1995,NC8248-1/NC08-23383,5.13.1,UX1995-167,-,.,369,2,4/13/2022,103,,,R20,,4,90,-
Kin22-SunRilHR-370,UX1995,NC8248-1/NC08-23383,5.13.2,UX1995-204,*,.,370,3,4/2/2022,92,,,R20,,2,95,mixed
